id,location,coordinates,user_key
3071479646.0,"Baltimore, MD","(39.2908816, -76.610759)",Baltimore0nline
3074563039.0,"St Louis, MO","(38.6280278, -90.1910154)",StLouisOnline
3080829096.0,"Richmond, VA","(37.5385087, -77.43428)",RichmondVoice
3083086600.0,USA,"(39.7837304, -100.445882)",Aldrich420
3084360275.0,USA,"(39.7837304, -100.445882)",Mil0Blake
3091936475.0,"Newark, NJ","(40.735657, -74.1723667)",NewarkVoice
3091979410.0,"Baton Rouge, LA","(30.4494155, -91.1869659)",BatonRougeVoice
3312143142.0,StLouis,"(36.237632, -95.9705863)",gloed_up
4271904983.0,All Over Texas,,ItsTimeToSecede
4301962823.0,Black America,"(31.0093468, -85.7443772)",BlackNewsOutlet
4355797094.0,"Texas, USA","(31.2638905, -98.5456116)",SouthLoneStar
1504356343.0,USA,"(39.7837304, -100.445882)",GallowayEliana
1512371617.0,USA,"(39.7837304, -100.445882)",CatelineWatkins
1527133837.0,United States,"(39.7837304, -100.445882)",SusaYung
1534083420.0,"Atlanta, GA","(33.7489924, -84.3902644)",taraformation
1621376306.0,USA,"(39.7837304, -100.445882)",BigSeanBeast
1623062953.0,USA,"(39.7837304, -100.445882)",NotBallinYet
1626302035.0,"Bronx, NY","(40.8466508, -73.8785937)",ClayPaigeBoo
1645969141.0,USA,"(39.7837304, -100.445882)",FightM_D_B
1646999972.0,USA,"(39.7837304, -100.445882)",hollandpatrickk
1647637538.0,"Houston, TX","(29.7589382, -95.3676974)",KaydenMelton
1651108392.0,USA,"(39.7837304, -100.445882)",WonderHann
1653393446.0,"Miami, FL","(25.7741728, -80.19362)",JohnieVOGUE
1654347974.0,USA,"(39.7837304, -100.445882)",maymaymyy
1654695517.0,USA,"(39.7837304, -100.445882)",ImaSwerve
1655288160.0,"Baltimore, MD","(39.2908816, -76.610759)",SincerePruitt
1655815544.0,USA,"(39.7837304, -100.445882)",JeaNuttella
1657753759.0,"Houston, TX","(29.7589382, -95.3676974)",JohnBranchh
1660183028.0,"Oklahoma, PA","(40.5814403, -79.5740244)",TessyElmore
1660186831.0,USA,"(39.7837304, -100.445882)",AdrGreerr
1660804459.0,United States,"(39.7837304, -100.445882)",DamaniMiles
1662779209.0,USA,"(39.7837304, -100.445882)",RH0lbr00k
1663583694.0,"Chicago, IL","(41.8755616, -87.6244212)",FinnaGlo
1668314575.0,"Atlanta, GA","(33.7489924, -84.3902644)",JohnieBoyCooks
1670762347.0,"Arizona, USA","(34.395342, -111.763275)",AdamChapmanJR
1675280893.0,"Atlanta, GA","(33.7489924, -84.3902644)",BrianTheLifter
1680366068.0,"Ferguson, MO","(38.744707, -90.3038975)",WillisBonnerr
1683608846.0,USA,"(39.7837304, -100.445882)",JerStoner
1685229229.0,USA,"(39.7837304, -100.445882)",NehemiahX
1688003786.0,USA,"(39.7837304, -100.445882)",QueennArielle
1691000604.0,"Chicago, IL","(41.8755616, -87.6244212)",RobertEbonyKing
1696996141.0,NH,"(43.4849133, -71.6553992)",KenCannone
1706657124.0,US,"(17.789187, -64.7080574)",janelperkinson
1709314117.0,"Missouri, USA","(38.7604815, -92.5617875)",aantiracist
1711063908.0,USA,"(39.7837304, -100.445882)",cookiiieeessss
1850866398.0,USA,"(39.7837304, -100.445882)",BriceGeller
1863956756.0,USA,"(39.7837304, -100.445882)",CoryNaeNae
1868810166.0,USA,"(39.7837304, -100.445882)",BigBoySneed
1877492857.0,USA,"(39.7837304, -100.445882)",ChesPlaysChess
1882324014.0,United States,"(39.7837304, -100.445882)",Pati_Cooper
2351739462.0,"Россия, Москва","(55.625578, 37.6063916)",coldwar20_ru
2491401030.0,United States,"(39.7837304, -100.445882)",CliftonHughes_
2496599688.0,Atlanta,"(33.7489924, -84.3902644)",NotRitaHart
2497991305.0,USA,"(39.7837304, -100.445882)",AustinLovesBeer
2530830345.0,"New Orleans, LA","(29.9759983, -90.0782127)",NewOrleansON
2533221819.0,USA,"(39.7837304, -100.445882)",LazyKStafford
2534421182.0,Atlanta,"(33.7489924, -84.3902644)",abigailssilk
2537507303.0,"El Paso, Texas","(31.7550511, -106.488234)",ElPasoTopNews
2573225349.0,US,"(17.789187, -64.7080574)",DominicValent
2577082467.0,"Cincinnati, OH","(39.1014537, -84.5124602)",TodayCincinnati
2580516159.0,USA,"(39.7837304, -100.445882)",JmsCoxxx
2591847731.0,"Boston, USA","(42.3554334, -71.060511)",TodayBostonMA
2598367019.0,USA,"(39.7837304, -100.445882)",DickyIrwin
2611151319.0,"Seattle, WA","(47.6038321, -122.330062)",Seattle_Post
2628066159.0,"Houston, TX","(29.7589382, -95.3676974)",HoustonTopNews
2630842499.0,"San Diego, CA","(32.7174202, -117.1627728)",DailySanDiego
2675966513.0,"Dallas, Texas","(32.7762719, -96.7968559)",DallasTopNews
2944766250.0,"Atlanta, GA","(33.7489924, -84.3902644)",Atlanta_Online
2944944427.0,"Miami, FL","(25.7741728, -80.19362)",TodayMiami
3070151882.0,"Brussel, België","(50.8465573, 4.351697)",enTatjanaMax
3074013672.0,"Oakland, CA","(37.8044557, -122.271356)",OaklandOnline
3081110164.0,"Jackson, MS","(32.2998686, -90.1830408)",JacksonCityPost
3092302720.0,"New York, NY","(40.7127281, -74.0060152)",kelvsok
3098232473.0,"New York, NY","(40.7127281, -74.0060152)",nataturn
3969530725.0,"Texas, USA","(31.2638905, -98.5456116)",patriototus
4233777387.0,"New Jersey, USA","(40.0757384, -74.4041622)",nj_blacknews
4289431230.0,"Lafayette, LA","(30.2262187, -92.0178202)",redlanews
2498181012.0,Москва,"(55.625578, 37.6063916)",OstrovOfficer
2516933027.0,"Saint Petersburg, Russia","(59.938732, 30.316229)",DannyMaslov
2579089021.0,Мурманск,"(68.970665, 33.07497)",LysikVinkova
2582643409.0,Ватноград,,arkadii_trofim
2586251828.0,Москва,"(55.625578, 37.6063916)",Lila_Gorila
2992047969.0,Санкт-Петербург,"(59.938732, 30.316229)",YatTVRussia
38875764.0,St-Petersburg,"(59.938732, 30.316229)",Leecory
2519634855.0,Омск,"(54.991375, 73.371529)",MaksBlaginin
2532553697.0,"Москва, Россия","(55.625578, 37.6063916)",KrasilnikovBor
2542876557.0,Москва,"(55.625578, 37.6063916)",RogovIlia
2579368386.0,Красти Бургер ,,KrustyPs
1625965398.0,portland,"(45.5202471, -122.674194)",MeggieONeil
1701582961.0,"Brooklyn, NY","(40.6526006, -73.9497211)",EdmundRJr
2431598206.0,Москва,"(55.625578, 37.6063916)",margoberoeva
2537357265.0,LA,"(34.0536909, -118.242766)",DonnieLMiller
2541109454.0,United States,"(39.7837304, -100.445882)",heyitsglor
2570574680.0,Россия ,"(64.6863136, 97.7453061)",riafanru
2589513234.0,Москва,"(55.625578, 37.6063916)",zubovnik
2912754262.0,United States,"(39.7837304, -100.445882)",PigeonToday
4444330996.0,Cosmopolitanism,,GlobalFoe
7.332733888363479e+17,"Hessen, Deutschland","(50.6080651, 9.0284647)",chrisuport_port
7.311232554578166e+17,"Washington, DC","(38.8950368, -77.0365427)",WhiteHouseCards
2588336851.0,Москва,"(55.625578, 37.6063916)",inspectAn
7.473442508958843e+17,the corner of happy & healthy,"(39.848441, -84.3124331)",internalmemer
2525491683.0,Москва,"(55.625578, 37.6063916)",nana_lama
2575626468.0,Омск,"(54.991375, 73.371529)",ShikarnoeL
2504601561.0,СПб,"(59.938732, 30.316229)",TtlenLen
7.892661254859981e+17,Estados Unidos,"(39.7837304, -100.445882)",WorldnewsPoli
7.147209088213279e+17,"Berlin, Deutschland","(52.5170365, 13.3888599)",berkhoff85
2401770593.0,"Moscow, Russia","(55.625578, 37.6063916)",briys_valera
7.598250202102538e+17,United States,"(39.7837304, -100.445882)",ChaNeutral
2588788573.0,Москва,"(55.625578, 37.6063916)",gorelkinnn
7.192812189659996e+17,Islamic States of America,,Jihadist2ndWife
3906961827.0,Paris,"(48.8588897, 2.3200410217200766)",maximgaron1
7.48464969008681e+17,United States,"(39.7837304, -100.445882)",PeeOnHillary
7.499903302677586e+17,st/petersburg,"(59.938732, 30.316229)",TTsvetkov
